Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1985,1,1,East,Georgetown,Lehigh,16
8,1985,1,1,East,Temple,Virginia Tech,9
5,1985,1,1,East,SMU,Old Dominion,12
4,1985,1,1,East,Loyola Chicago,Iona,13
6,1985,1,1,East,Georgia,Wichita St,11
3,1985,1,1,East,Illinois,Northeastern,14
7,1985,1,1,East,Syracuse,DePaul,10
2,1985,1,1,East,Georgia Tech,Mercer,15
1,1985,1,2,Midwest,Oklahoma,North Carolina A&T,16
8,1985,1,2,Midwest,USC,Illinois St,9
5,1985,1,2,Midwest,Louisiana Tech,Pittsburgh,12
4,1985,1,2,Midwest,Ohio St,Iowa St,13
6,1985,1,2,Midwest,Texas Tech,Boston College,11
3,1985,1,2,Midwest,Duke,Pepperdine,14
7,1985,1,2,Midwest,UAB,Michigan St,10
2,1985,1,2,Midwest,Memphis,Pennsylvania,15
1,1985,1,3,Southeast,Michigan,Fairleigh Dickinson,16
8,1985,1,3,Southeast,Villanova,Dayton,9
5,1985,1,3,Southeast,Maryland,Miami Ohio,12
4,1985,1,3,Southeast,LSU,Navy,13
6,1985,1,3,Southeast,Purdue,Auburn,11
3,1985,1,3,Southeast,Kansas,Ohio,14
7,1985,1,3,Southeast,Notre Dame,Oregon St,10
2,1985,1,3,Southeast,North Carolina,Middle Tennessee St,15
1,1985,1,4,West,St Johns,Southern,16
8,1985,1,4,West,Iowa,Arkansas,9
5,1985,1,4,West,Washington,Kentucky,12
4,1985,1,4,West,UNLV,San Diego St,13
6,1985,1,4,West,Tulsa,UTEP,11
3,1985,1,4,West,NC State,Nevada,14
7,1985,1,4,West,Alabama,Arizona,10
2,1985,1,4,West,VCU,Marshall,15
