Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1994,1,1,East,North Carolina,Liberty,16
8,1994,1,1,East,Washington St,Boston College,9
5,1994,1,1,East,Indiana,Ohio,12
4,1994,1,1,East,Temple,Drexel,13
6,1994,1,1,East,Nebraska,Pennsylvania,11
3,1994,1,1,East,Florida,James Madison,14
7,1994,1,1,East,UAB,George Washington,10
2,1994,1,1,East,Connecticut,Rider,15
1,1994,1,2,Midwest,Arkansas,North Carolina A&T,16
8,1994,1,2,Midwest,Illinois,Georgetown,9
5,1994,1,2,Midwest,UCLA,Tulsa,12
4,1994,1,2,Midwest,Oklahoma St,New Mexico St,13
6,1994,1,2,Midwest,Texas,Western Kentucky,11
3,1994,1,2,Midwest,Michigan,Pepperdine,14
7,1994,1,2,Midwest,St Louis,Maryland,10
2,1994,1,2,Midwest,Massachusetts,Texas State,15
1,1994,1,3,Southeast,Purdue,Central Florida,16
8,1994,1,3,Southeast,Providence,Alabama,9
5,1994,1,3,Southeast,Wake Forest,College of Charleston,12
4,1994,1,3,Southeast,Kansas,Chattanooga,13
6,1994,1,3,Southeast,Marquette,Louisiana Lafayette,11
3,1994,1,3,Southeast,Kentucky,Tennessee St,14
7,1994,1,3,Southeast,Michigan St,Seton Hall,10
2,1994,1,3,Southeast,Duke,Texas Southern,15
1,1994,1,4,West,Missouri,Navy,16
8,1994,1,4,West,Cincinnati,Wisconsin,9
5,1994,1,4,West,California,Wisconsin Green Bay,12
4,1994,1,4,West,Syracuse,Hawaii,13
6,1994,1,4,West,Minnesota,Southern Illinois,11
3,1994,1,4,West,Louisville,Boise St,14
7,1994,1,4,West,Virginia,New Mexico,10
2,1994,1,4,West,Arizona,Loyola Maryland,15
