Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1991,1,1,West,UNLV,Montana,16
8,1991,1,1,West,Georgetown,Vanderbilt,9
5,1991,1,1,West,Michigan St,Wisconsin Green Bay,12
4,1991,1,1,West,Utah,South Alabama,13
6,1991,1,1,West,New Mexico St,Creighton,11
3,1991,1,1,West,Seton Hall,Pepperdine,14
7,1991,1,1,West,Virginia,BYU,10
2,1991,1,1,West,Arizona,St Francis,15
1,1991,1,2,Midwest,Ohio St,Towson,16
8,1991,1,2,Midwest,Georgia Tech,DePaul,9
5,1991,1,2,Midwest,Texas,St Peters,12
4,1991,1,2,Midwest,St Johns,Northern Illinois,13
6,1991,1,2,Midwest,LSU,Connecticut,11
3,1991,1,2,Midwest,Nebraska,Xavier,14
7,1991,1,2,Midwest,Iowa,East Tennessee St,10
2,1991,1,2,Midwest,Duke,Louisiana Monroe,15
1,1991,1,3,East,North Carolina,Northeastern,16
8,1991,1,3,East,Princeton,Villanova,9
5,1991,1,3,East,Mississippi St,Eastern Michigan,12
4,1991,1,3,East,UCLA,Penn St,13
6,1991,1,3,East,NC State,Southern Mississippi,11
3,1991,1,3,East,Oklahoma St,New Mexico,14
7,1991,1,3,East,Purdue,Temple,10
2,1991,1,3,East,Syracuse,Richmond,15
1,1991,1,4,Southeast,Arkansas,Georgia St,16
8,1991,1,4,Southeast,Arizona St,Rutgers,9
5,1991,1,4,Southeast,Wake Forest,Louisiana Tech,12
4,1991,1,4,Southeast,Alabama,Murray St,13
6,1991,1,4,Southeast,Pittsburgh,Georgia,11
3,1991,1,4,Southeast,Kansas,New Orleans,14
7,1991,1,4,Southeast,Florida St,USC,10
2,1991,1,4,Southeast,Indiana,Coastal Carolina,15
